Chapter,Measure,Ordinal position within measure,RG scale-degree,Heuristic scale-degree (GR),Initial / medial / final / totality,Displaced from initial? (incl. 0-duration grace notes),Match V or X,Match 1 or 0,comments,Segment onset (within measure),Segment Duration,Onsets within segment [separate by  commas no spaces],Durations [Separate by commas; no spaces,Meter
17,27,a,1,1,I,,V,1,,0,2,0.00,1.50,4
17,27,b,5,nan,I,,nan,nan,PREF,2,2,0.00,1.25,4
17,27,c,4,4,F,,V,1,,2,2,1.75,0.25,4
17,28,a,3,3,T,,V,1,,0,4,0.00,4.00,4
17,30,a,1,2,T,D,X,0,CDSF,0,2,0.50,1.50,4
17,30,b,7,7,T,D,V,1,,2,2,0.50,1.50,4
17,33,a,1,2,T,D,X,0,CDSF,0,2,0.50,1.50,4
17,33,b,7,7,T,D,V,1,,2,2,0.50,1.50,4
17,34,a,1,1,I,,V,1,,0,4,0.00,1.75,4
17,47,a,5,5,I,,V,1,,0,1,0.00,0.50,4
17,47,b,2,2,I,,V,1,,1,1,0.00,0.75,4
17,47,c,4,4,I,,V,1,,2,1,0.00,0.75,4
17,47,d,6,6,I,,V,1,,3,1,0.00,0.75,4
17,48,a,4,4,I,,V,1,,0,1,0.00,0.75,4
17,48,b,2,2,I,,V,1,,1,1,0.00,0.75,4
17,48,c,7,7,IF,,V,1,,2,2,0;1.5,0.75;0.5,4
17,49,a,5,5,IF,,V,1,,0,4,0;2,1.5;2,4
17,50,a,5,5,IF,,V,1,,0,4,0;2,1.5;2,4
17,51,a,5,nan,IF,,nan,nan,DISS,0,4,0;2,1.5;2,4
17,52,a,5,5,IF,,V,1,,0,4,0;2,1.5;2,4
17,53,a,5,5,IF,,V,1,,0,4,0;2,1.5;2,4
17,54,a,5,5,IF,,V,1,,0,4,0;2,1.5;2,4
17,55,a,5,nan,IF,,nan,nan,DISS,0,4,0;2,1.5;2,4
17,56,a,5,5,IF,,V,1,,0,4,0;2,1.5;2,4
17,67,a,5,5,T,D,V,1,,0,4,0.50,3.50,4
17,68,a,3,5,MM,,X ,0,PMEL,0,4,0.5;3,0.125;0.5,4
17,69,a,5,5,T,D,V,1,,0,4,0.50,3.50,4
17,70,a,3,5,MM,,X ,0,PMEL,0,4,0.5;3,0.125;0.5,4
17,71,a,5,5,T,D,V,1,,0,4,0.50,3.50,4
17,72,a,4,4,T,,V,1,,0,4,0.00,4.00,4
17,73,a,4,4,T,,V,1,,0,4,0.00,4.00,4
17,74,a,4,4,T,,V,1,,0,4,0.00,4.00,4
17,75,a,4,4,T,,V,1,,0,4,0.00,4.00,4
17,76,a,2,2,IM,,V,1,,0,3,0;1,0.5;1,4
17,76,b,4,4,IM,,V,1,,3,2,0;1.75,1;0.125,4
17,77,a,6,nan,I,,nan,nan,DISS,1,2,0.00,1.00,4
17,77,b,4,4,I,,V,1,,3,2,0.00,1.00,4
17,78,a,2,2,I,,V,1,,1,1,0.00,0.50,4
17,78,b,7,7,I,,V,1,,2,1,0.00,0.50,4
17,78,c,5,5,I,,V,1,,3,1,0.00,0.50,4
17,79,a,1,1,I,,V,1,,0,2,0.00,1.00,4
17,79,b,2,2,I,,V,1,,2,2,0.00,1.00,4
17,80,a,3,3,IM,,V,1,,0,4,0;3.5,1;0.25,4
17,81,a,1,1,MF,,V,1,,0,4,1;3,1;1,4
17,82,a,2,2,IM,,V,1,,0,4,0;1.5,1.25;0.25,4
17,83,a,2,2,MF,,V,1,,0,4,1;3,1;1,4
17,84,a,3,3,IM,,V,1,,0,4,0;1.5,1.25;0.25,4
17,85,a,1,1,MF,,V,1,,0,4,1;3,1;1,4
17,86,a,2,2,IM,,V,1,,0,4,0;1.5,1.25;0.25,4
17,87,a,2,2,MF,,V,1,,0,4,1;3,1;1,4
17,88,a,3,3,IM,,V,1,,0,4,0;1.5,1.25;0.25,4
17,89,a,6,6,I,,V,1,,0,4,0.00,2.00,4
17,90,a,5,5,I,,V,1,,0,4,0.00,2.00,4
17,91,a,4,4,I,,V,1,,0,4,0.00,2.00,4
17,92,a,3,3,T,,V,1,,0,2,0.00,2.00,4
17,92,b,1,7,IMMF,D,X ,0,PMEL,2,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,93,a,6,6,IMMF,D,V,1,,0,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,93,b,5,5,IF,,V,1,,2,1,0;0.75,0.5;0.25,4
17,93,c,4,4,IF,D,V,1,,3,1,0;0.75,0.5;0.25,4
17,94,a,3,3,T,D,V,1,PMEL,0,2,0.00,2.00,4
17,94,b,1,7,IMMF,D,X ,0,PMEL,2,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,95,a,6,6,IMMF,D,V,1,,0,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,95,b,5,5,IM,,V,1,,2,2,0;0.5,0.25;0.25,4
17,96,a,1,1,I,,V,1,,0,2,0.00,1.00,4
17,96,b,1,7,IMMF,D,X ,0,PMEL,2,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,97,a,6,6,IMMF,D,V,1,,0,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,97,b,5,5,IF,,V,1,,2,1,0;0.75,0.5;0.25,4
17,97,c,4,4,IF,D,V,1,,3,1,0;0.75,0.5;0.25,4
17,98,a,3,3,T,D,V,1,,0,2,0.00,2.00,4
17,98,b,1,7,IMMF,D,X ,0,PMEL,2,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,99,a,6,6,IMMF,D,V,1,,0,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
17,99,b,5,5,IM,,V,1,,2,2,0;0.5,0.25;0.25,4
17,100,a,1,1,I,,V,1,,0,2,0.00,1.00,4
17,105,a,4,4,F,,V,1,,0,4,3.00,1.00,4
17,106,a,3,3,T,,V,1,,0,1.5,0.00,1.50,4
17,106,b,1,1,T,D,V,1,,1.5,0.5,0.25,0.25,4
17,106,c,7,7,IF,,V,1,,2,2,0;1.75,1.25;0.25,4
17,107,a,1,1,I,,V,1,,0,2,0.00,1.50,4
17,107,b,5,nan,I,,nan,nan,PREF,2,2,0.00,1.25,4
17,107,c,4,4,F,,V,1,,2,2,1.75,0.25,4
17,108,a,3,3,T,,V,1,,0,1.5,0.00,1.50,4
17,108,b,1,1,T,D,V,1,,1.5,0.5,0.25,0.25,4
17,108,c,7,7,IF,,V,1,,2,2,0;1.75,1.25;0.25,4
17,109,a,1,1,I,,V,1,,0,2,0.00,1.50,4
17,109,b,5,nan,I,,nan,nan,PREF,2,2,0.00,1.25,4
17,109,c,4,4,F,,V,1,,2,2,1.75,0.25,4
17,110,a,3,3,T,,V,1,,0,4,0.00,4.00,4
17,113,a,3,3,T,,V,1,,0,1.5,0.00,1.50,4
17,113,b,1,1,T,D,V,1,,1.5,0.5,0.25,0.25,4
17,113,c,7,7,IF,,V,1,,2,2,0;1.75,1.25;0.25,4
17,114,a,1,1,I,,V,1,,0,2,0.00,1.50,4
17,114,b,5,nan,I,,nan,nan,PREF,2,2,0.00,1.25,4
17,114,c,4,4,F,,V,1,,2,2,1.75,0.25,4
17,115,a,3,3,T,,V,1,,0,1.5,0.00,1.50,4
17,115,b,1,1,T,D,V,1,,1.5,0.5,0.25,0.25,4
17,115,c,7,7,IF,,V,1,,2,2,0;1.75,1.25;0.25,4
17,116,a,1,1,I,,V,1,,0,2,0.00,1.50,4
17,116,b,5,nan,I,,nan,nan,PREF,2,2,0.00,1.25,4
17,116,c,4,4,F,,V,1,,2,2,1.75,0.25,4
17,117,a,3,3,T,,V,1,,0,4,0.00,4.00,4
19,1,a,5,5,I,,V,1,,0,4,0.00,3.75,4
19,2,a,4,4,I,,V,1,,0,4,0.00,3.75,4
19,3,a,3,3,IF,,V,1,,0,4,0;3.75,3;0.25,4
19,4,a,3,nan,I,,nan,nan,GRCN,0,1,0.00,0.00,4
19,4,b,2,2,T,D,V,1,,0,1,0.00,1.00,4
19,4,c,1,1,T,,V,1,,1,2,0.00,2.00,4
19,4,d,7,2,F,,X,0,PMEL,3,1,0.75,0.25,4
19,5,a,3,3,F,,V,1,,3,1,0.75,0.25,4
19,6,a,2,2,T,D,V,1,,0,1,0.00,1.00,4
19,6,b,1,1,T,,V,1,,1,2,0.00,2.00,4
19,6,c,7,2,F,,X,0,PMEL,3,1,0.75,0.25,4
19,7,a,1,1,IM,,V,1,,0,4,0;1,0.75;1,4
19,8,a,6,5,M,,X,0,PMEL,0,4,1.00,0.50,4
19,9,a,5,5,MF,,V,1,,0,4,1;3.5,1;0.5,4
19,10,a,4,4,MF,,V,1,,0,2,0.5;1.75,0.5;0.25,4
19,10,c,3,3,MF,,V,1,,2,2,0.5;1.5,0.5;0.5,4
19,11,b,2,3,I,D,X,0,PMEL,0,4,1.00,1.00,4
19,12,a,5,5,IM,,V,1,,0,4,0;2,1.25;1.75,4
19,13,a,1,1,T,,V,1,,0,1,0.00,1.00,4
19,13,b,7,7,I,,V,1,,1,2,0.00,0.25,4
19,13,c,4,4,IF,,V,1,,3,1,0;0.75,0.5;0.25,4
19,14,a,3,3,I,D,V,1,,0,2,0.25,0.25,4
19,16,a,3,nan,I,,nan,nan,DISS,2,1,0.00,0.50,4
19,16,b,2,2,I,D,V,1,,2,1,0.50,0.50,4
19,16,c,1,1,F,,V,1,,3,1,0.50,0.50,4
19,17,a,7,7,I,D,V,1,,0,4,1.00,1.00,4
19,18,a,5,3,F,,X,0,PMEL,0,4,2.00,2.00,4
19,19,a,4,4,T,D,V,1,,0,2,0.75,1.25,4
19,19,b,3,3,IF,D,V,1,,2,2,0.5;1.5,0.5;0.5,4
19,20,a,2,2,IMMF,D,V,1,,0,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
19,20,b,1,nan,T,,nan,nan,CDSF,2,1,0.00,1.00,4
19,20,c,7,7,T,,V,1,,3,1,0.00,1.00,4
19,21,a,1,1,I,,V,1,,0,4,0.00,0.75,4
19,22,a,5,3,F,,X,0,PMEL,0,4,2.00,2.00,4
19,23,a,4,4,T,D,V,1,,0,2,0.75,1.25,4
19,23,b,3,3,IF,D,V,1,,2,2,0.5;1.5,0.5;0.5,4
19,24,a,2,2,IF,D,V,1,,0,2,0.25;1.75,0.25;0.25,4
19,24,b,1,nan,T,,nan,nan,CDSF,2,1,0.00,1.00,4
19,24,c,7,7,T,,V,1,,3,1,0.00,1.00,4
19,25,a,1,1,IM,,V,1,,0,4,0;2.75,2.5;0.25,4
19,26,a,3,3,IM,,V,1,,0,4,0;2.75,2.5;0.25,4
19,27,a,5,5,IMMM,,V,1,,0,4,0;1.75;2.25;3.25,1.25;0.25;0.25;0.25,4
19,28,a,1,1,IMMMM,,V,1,,0,3,0;0.5;1;2;2.5,0.25;0.25;0.25;0.25;0.25,4
19,28,b,3,3,IM,,V,1,,3,1,0;0.5,0.25;0.25,4
19,29,a,5,5,IMMMM,,V,1,,0,3,0;0.5;1;1.75;2.25,0.25;0.25;0.25;0.25;0.25,4
19,29,b,1,1,IM,,V,1,,3,1,0;0.5,0.25;0.25,4
19,30,a,3,3,T,,V,1,,0,0.5,0.00,0.50,4
19,30,b,5,5,IM,,V,1,,0.5,3.5,0;1.75,0.25;0.25,4
19,31,a,2,2,T,,V,1,,2,2,0.00,2.00,4
19,33,a,2,2,T,,V,1,,2,2,0.00,2.00,4
19,34,a,1,1,T,,V,1,,0,0.75,0.00,0.75,4
19,34,b,5,5,T,,V,1,,0.75,0.25,0.00,0.25,4
19,34,c,6,6,T,,V,1,,1,0.75,0.00,0.75,4
19,34,d,7,7,T,,V,1,,1.75,0.25,0.00,0.25,4
19,34,e,1,1,T,,V,1,,2,0.75,0.00,0.75,4
19,34,f,5,5,T,,V,1,,2.75,0.25,0.00,0.25,4
19,34,g,6,6,T,,V,1,,3,0.75,0.00,0.75,4
19,34,h,7,7,T,,V,1,,3.75,0.25,0.00,0.25,4
19,35,a,1,1,I,D,V,1,,0,4,2.00,1.00,4
19,36,a,5,5,I,,V,1,,0,4,0.00,3.75,4
19,37,a,4,4,I,D,V,1,,0,4,0.00,3.75,4
19,38,a,3,3,T,D,V,1,,0,3,0.00,3.00,4
19,38,b,3,5,F,,X,0,PMEL,3,1,0.75,0.25,4
19,39,a,2,2,T,D,V,1,,0,1,0.00,1.00,4
19,39,b,1,1,T,,V,1,,1,2,0.00,2.00,4
19,39,c,7,5,F,,X,0,PMEL,3,1,0.75,0.25,4
19,40,a,5,5,IF,,V,1,,0,3,0;2,1.25;1,4
19,40,b,3,3,F,,V,1,,3,1,0.75,0.25,4
19,41,a,2,2,T,D,V,1,,0,1,0.00,1.00,4
19,41,b,1,1,T,,V,1,,1,2,0.00,2.00,4
19,41,c,7,5,F,,X,0,PMEL,3,1,0.75,0.25,4
19,42,a,1,1,IF,,V,1,,0,2,0;1,0.75;1,4
19,43,a,6,nan,M ,,nan,nan,PREF,0,2,0.50,0.50,4
19,43,b,5,nan,M ,,nan,nan,PREF,0,2,1.00,0.50,4
19,43,c,4,4,F,,V,1,,0,2,1.50,0.50,4
19,43,d,6,nan,M,,nan,nan,PREF,2,2,0.50,0.50,4
19,43,e,5,nan,M,,nan,nan,PREF,2,2,1.00,0.50,4
19,43,f,4,4,F,,V,1,,2,2,1.50,0.50,4
19,44,a,3,3,T,D,V,1,,0,2,1.00,1.00,4
19,45,a,6,nan,M,,nan,nan,PREF,0,2,0.50,0.50,4
19,45,b,5,nan,M,,nan,nan,PREF,0,2,1.00,0.50,4
19,45,c,4,4,F,,V,1,,0,2,1.50,0.50,4
19,45,d,6,nan,M,,nan, ,PREF,2,2,0.50,0.50,4
19,45,e,5,nan,M,,nan, ,PREF,2,2,1.00,0.50,4
19,45,f,4,4,F,,V,1,,2,2,1.50,0.50,4
19,46,a,3,3,IM,,V,1,,0,4,0;1,0.5;0.5,4
19,47,a,6,6,IF,,V,1,,0,4,0;3.5,0.5;0.5,4
19,48,a,5,5,IF,,V,1,,0,4,0;3.5,0.5;0.5,4
19,49,a,4,4,IMF,D,V,1,,0,2,0.25;0.75;1.75,0.25;0.25;0.25,4
19,49,b,3,3,IMF,D,V,1,,2,2,0.25;0.75;1.75,0.25;0.25;0.25,4
19,50,a,2,2,I,,V,1,,0,2,0.00,0.50,4
19,52,a,3,3,T,D,V,1,,0,1,0.00,1.00,4
19,52,b,2,2,T,,V,1,,1,1,0.00,1.00,4
19,53,a,5,3,F,,X,0,PMEL,0,4,2.00,2.00,4
19,54,a,4,4,T,D,V,1,,0,2,0.75,1.25,4
19,54,b,3,3,IF,D,V,1,,2,2,0.5;1.5,0.5;0.5,4
19,55,a,2,2,IMMF,D,V,1,,0,2,0.25;0.75;1.25;1.75,0.25;0.25;0.25;0.25,4
19,55,b,1,nan,T,,nan,nan,CDSF,2,1,0.00,1.00,4
19,55,c,7,7,T,,V,1,,3,1,0.00,1.00,4
19,56,a,1,1,I,,V,1,,0,4,0.00,1.00,4
19,57,a,6,5,I,D,X,0,PMEL,0,4,1.00,1.00,4
19,58,a,5,5,I,D,V,1,,0,4,1.00,1.00,4
19,59,a,4,4,F,,V,1,,0,4,3.75,0.25,4
19,60,a,3,3,I,,V,1,,0,2,0.00,0.50,4
19,60,b,5,5,T,,V,1,,2,2,0.00,2.00,4
19,61,a,4,4,I,D,V,1,,0,2,0.75,1.25,4
19,61,b,3,3,IF,D,V,1,,2,2,0.5;1.5,0.5;0.5,4
19,62,a,2,6,MF,,X,0,PMEL,0,2,0.25;1.75,0.25;0.25,4
19,62,b,1,nan,T,,nan,nan,CDSF,2,1,0.00,1.00,4
19,62,c,7,7,T,,V,1,,3,1,0.00,1.00,4
19,63,a,1,1,IM,,V,1,,0,4,0;2.75,2.5;0.25,4
19,64,a,3,3,IM,,V,1,,0,4,0;2.75,2.5;0.25,4
19,65,a,5,5,IMMM,,V,1,,0,4,0;1.75;2.25;3.25,1.25;0.25;0.25;025.,4
19,66,a,1,1,IMMMM,,V,1,,0,3,0;0.5;1;2;2.5,0.25;0.25;0.25;0.25;0.25,4
19,66,b,3,3,IM,,V,1,,3,1,0;0.5,0.25;0.25,4
19,67,a,5,5,IMMMM,,V,1,,0,3,0;0.5;1;1.75;2.25,0.25;0.25;0.25;0.25;0.25,4
19,67,b,1,1,IM,,V,1,,3,1,0;0.5,0.25;0.25,4
19,68,a,3,3,T,,V,1,,0,0.5,0.00,0.50,4
19,68,b,5,5,IM,,V,1,,0.5,3.5,0;1.75,0.25;0.25,4
19,69,a,2,2,T,,V,1,,2,2,0.00,2.00,4
19,70,a,3,3,F,,V,1,,0,0.5,0.25,0.25,4
19,70,b,5,5,IM,,V,1,,0.5,3.5,0;1.75,0.25;0.25,4
19,71,a,2,2,T,,V,1,,2,2,0.00,2.00,4
19,72,a,1,1,I,,V,1,,0,1,0.00,0.50,4
19,72,b,7b,7b,F,,V,1,,1,1,0.75,0.25,4
19,72,c,6,6,I,,V,1,,2,1,0.00,0.50,4
19,72,d,7,7,F,,V,1,,3,1,0.75,0.25,4
19,73,a,1,1,I,,V,1,,0,1,0.00,0.50,4
19,73,b,7b,7b,F,,V,1,,1,1,0.75,0.25,4
19,73,c,6,6,I,,V,1,,2,1,0.00,0.50,4
19,73,d,7,7,F,,V,1,,3,1,0.75,0.25,4
19,74,a,1,1,I,D,V,1,,0,4,2.00,1.00,4
21,6,a,6,6,IMF,,V,1,,0,4,0;2;3.75,1.5;1;0.25,4
21,7,a,5,5,IMF,,V,1,,0,4,0;2;3.5,1.5;1;0.5,4
21,8,a,4#,4#,T,D,V,1,,0,1,0.50,0.50,4
21,8,b,4,4,F,,V,1,,1,1,0.75,0.25,4
21,8,c,3,3,I ,D,V,1,,2,2,0.50,0.50,4
21,9,a,4#,4#,T,D,V,1,,0,1,0.50,0.50,4
21,9,b,4,4,F,,V,1,,1,1,0.75,0.25,4
21,9,c,3,3,IF,D,V,1,,2,2,0.5;1.75,0.5;0.25,4
21,10,a,2,2,IM ,D,V,1,,0,1,0;0.5,0.25;0.25,4
21,10,b,4,4,IM,D,V,1,,1,1,0;0.5,0.25;0.25,4
21,10,c,6,6,I,D,V,1,,2,1,0.00,0.50,4
,10,d,1,1,F,,V,1,,3,1,0.75,0.25,4
,11,a ,7,7,IM,,V,1,,0,4,0;0.75,0.25;0.25,4
21,12,a,5,1,F,,X,0,PMEL,0,4,3.50,0.50,4
21,13,a,4,4,I,D,V,1,,0,4,0.00,0.50,4
21,14,a,4,4,M ,,V,1,,0,4,3.50,0.25,4
21,15,a,3,3,I,D,V,1,,0,4,2.00,1.00,4
21,16,a,6,6,I,,V,1,,0,4,0.00,1.50,4
21,17,a,6,6,T,,V,1,,0,1.5,0.00,1.50,4
21,17,b,4,4,T,,V,1,,1.5,0.5,0.00,0.50,4
21,17,c,2,nan,I ,,nan,nan,DISS,2,2,0.00,1.00,4
21,18,a,6,6,IM,,V,1,,0,1,0;0.5,0.25;0.25,4
21,18,b,4,4,IM,,V,1,,1,1,0;0.5,0.25;0.25,4
21,18,c,2,2,I,,V,1,,2,1,0.00,0.25,4
21,18,d,1,6,F,,X,0,OPRF,3,1,0.75,0.25,4
21,19,a,7,7,I,,V,1,,0,4,0.00,0.25,4
21,23,a,3,3,IMM,,V,1,,0,4,0;2.33;3.33,0.5;0.33;0.33,4
21,24,a,2,2,IF,,V,1,,0,4,0;3,1.5;1,4
21,25,a,3,3,IMMF,,V,1,,0,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,25,b,2,2,IMMF,,V,1,,2,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,26,a,3,3,IMMF,,V,1,,0,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,26,b,2,2,IMMF,,V,1,,2,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,27,a,3,3,IM,,V,1,,0,1,0;0.5,0.25;0.25,4
21,28,a,3,3,I,,V,1,,2.5,0.5,0.00,0.25,4
21,28,b,2,2,I,,V,1,,3,0.5,0.00,0.25,4
21,28,c,1,1,I,,V,1,,3.5,0.5,0.00,0.25,4
21,29,a,7,7,M ,,V,1,,0,4,0.75,0.25,4
21,32,a,6,6,,,V,1,,2,2,0.00,0.50,4
21,33,a,1,nan,T,,nan,nan,CDSF,0,2,0.00,2.00,4
21,33,b,7,7,I,,V,1,,2,2,0.00,1.00,4
21,36,a,3,3,T,,V,1,,2,1,0.00,1.00,4
21,36,b ,2,2,T,,V,1,,3,1,0.00,1.00,4
21,37,a,1,1,IMM,,V,1,,0,4,0;1;2.5,0.25;0.25;0.25,4
21,42,a,3,3,IM,,V,1,,0,2,0;0.5,0.25;0.25,4
21,42,b,1,1,IM,,V,1,,2,2,0;0.5,0.25;0.25,4
21,43,a,6,6,IM,,V,1,,0,2,0;0.5,0.25;0.25,4
21,43,b,4,4,I,,V,1,,2,2,0.00,0.50,4
21,44,a,4,4,IF,,V,1,,2,2,0;1.75,0.25;0.25,4
21,45,a,3,3,I,,V,1,,0,1,0.00,0.25,4
21,45,b,3,3,T,,V,1,,2,1,0.00,1.00,4
21,45,c,2,2,T,,V,1,,3,1,0.00,1.00,4
21,46,a,1,1,IF,,V,1,,0,4,0;2,1;2,4
21,54,a,6,6,I,,V,1,,0,3,0.00,2.33,4
21,54,b,1,1,F,,V,1,,3,1,0.66,0.33,4
21,55,a,7,7,IM,,V,1,,0,2,0;1,0.33;0.33,4
21,59,a,5,nan,M ,,nan,nan,PREF,2,2,1.00,0.50,4
21,59,b,4,4,F,,V,1,,2,2,1.50,0.50,4
21,60,a,3,3,I,D,V,1,,0,1,0.50,0.50,4
21,60,b,1,1,I,D,V,1,,1,1,0.50,0.50,4
21,60,c,7,7,I,D,V,1,,2,2,0.50,0.50,4
21,61,a,1,1,I,D,V,1,,0,2,0.50,0.50,4
21,61,b,5,nan,M ,,nan,nan,PREF,2,2,1.00,0.50,4
21,61,c,4,4,F,,V,1,,2,2,1.50,0.50,4
21,62,a,3,3,I,,V,1,,0,1,0.00,0.33,4
21,62,b,1,3,F,,X,0,OPRF,1,1,0.66,0.33,4
21,62,c,7,7,IM,,V,1,,2,2,0;1,0.33;0.33,4
21,63,a,1,1,T,,V,1,,0,2,0.00,2.00,4
21,64,a,4,nan,I,,nan,nan,GRCN,0,2,0.00,0.00,4
21,64,b,3,3,I,D,V,1,,0,2,0.00,1.00,4
21,66,a,4,nan,I,,nan,nan,DISS,0,4,0.00,0.50,4
21,66,b,6,6,IF,D,V,1,,0,4,0.5;3.75,1.75;0.25,4
21,67,a,5,5,I,D,V,1,,0,4,0.50,2.50,4
21,68,a,4,4,IMF,D,V,1,,0,4,0;0.66;3.66,0.33;0.33;0.33,4
21,69,a,3,3,IF,D,V,1,,0,4,0.5;3.5,2.5;0.5,4
21,70,a,2,2,IM,,V,1,,0,4,0;2,1.25;1,4
21,71,a,4,4,IM,,V,1,,0,4,0;2,1.25;1,4
21,72,a,2,2,I,,V,1,,0,1,0.00,0.25,4
21,72,b,4,4,I,,V,1,,1,1,0.00,0.25,4
21,72,c,6,6,I,,V,1,,2,1,0.00,0.50,4
21,72,d,1,1,F,,V,1,,3,1,0.75,0.25,4
21,73,a,7,7,IF,,V,1,,0,1,0;0.75,0.25;0.25,4
21,78,a,5,5,T,,V,1,,0,2,0.00,2.00,4
21,78,b,5,5,IMM,,V,1,,2,0.5,0;0.16;0.32,0.083;0.083;0.083,4
21,78,c,7,7,IMM,,V,1,,2.5,0.5,0;0.16;0.32,0.083;0.083;0.083,4
21,78,d,2,2,IMM,,V,1,,3,0.5,0;0.16;0.32,0.083;0.083;0.083,4
21,78,e,4,4,I,,V,1,,3.5,0.16,0.00,0.08,4
21,78,f,5,5,I,,V,1,,3.66,0.33,0.00,0.08,4
21,79,a,1,1,T,,V,1,,0,2,0.00,2.00,4
21,84,a,6,6,IMF,,V,1,,0,4,0;2;3.75,1.5;0.5;0.25,4
21,85,a,5,5,IMF,,V,1,,0,4,0;2;3.5,1.5;1;0.5,4
21,86,a,4#,4#,T,D,V,1,,0,1,0.50,0.50,4
21,86,b,4,4,F,,V,1,,1,1,0.75,0.25,4
21,86,c,3,3,I,D,V,1,,2,2,0.50,0.50,4
21,87,a,4#,4#,T,,V,1,,0,1,0.50,0.50,4
21,87,b,4,4,F,,V,1,,1,1,0.75,0.25,4
21,87,c,3,3,IF,D,V,1,,2,2,0.5;1.75,0.5;0.25,4
21,88,a,2,2,IM,D,V,1,,0,1,0;0.5,0.25;0.25,4
21,88,b,4,4,IM,D,V,1,,1,1,0;0.5,0.25;0.25,4
21,88,c,6,6,I,D,V,1,,2,1,0.00,0.50,4
21,88,d,1,1,F,,V,1,,3,1,0.75,0.25,4
21,89,a,7,7,I,,V,1,,0,4,0.00,0.33,4
21,93,a,3,3,IMM,,V,1,,0,4,0;2.33;3.33,0.5;0.33;0.33,4
21,95,a,3,3,IMMF,,V,1,,0,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,95,b,2,2,IMMF,,V,1,,2,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,96,a,3,3,IMMF,,V,1,,0,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,96,b,2,2,IMMF,,V,1,,2,2,0;0.5;1.25;1.75,0.25;0.25;0.25;0.25,4
21,97,a,3,3,IM,,V,1,,0,1,0;0.5,0.25;0.25,4
21,103,a,1,nan,T,,nan,nan,CDSF,0,2,0.00,2.00,4
21,103,b,7,7,I,,V,1,,2,2,0.00,1.00,4
21,106,a,3,3,T,,V,1,,2,1,0.00,1.00,4
21,106,b,2,2,T,,V,1,,3,1,0.00,1.00,4
21,107,a,1,1,IM,,V,1,,0,2,0;1,0.25;0.25,4
21,112,a,3,3,IM,,V,1,,0,2,0;0.5,0.25;0.25,4
21,112,b,1,1,IM,,V,1,,2,2,0;0.5,0.25;0.25,4
21,113,a,6,6,IM,,V,1,,0,2,0;0.5,0.25;0.25,4
21,113,b,4,4,I,,V,1,,2,2,0.00,0.50,4
21,114,a,4,4,IMF,,V,1,,0,4,0;2;3.75,0.5;0.25;0.25,4
21,115,a,3,3,I,,V,1,,0,1,0.00,0.25,4
21,115,b,3,3,T,,V,1,,2,1,0.00,1.00,4
